year,stress,satjob1,health1,jobsecok,fringeok,secondwk,famwkoff,partfull,rincome,race,sex,educ,naicsind07,censusocc00,id,ballot
2002,Sometimes,Very satisfied,Excellent,Very true,Very true,Yes,Not at all hard,Full-time,$25000 or more,White,Female,14,Rail transportation,Paralegals and legal assistants,1,Ballot a
2002,Hardly ever,Very satisfied,Good,Very true,Very true,No,Not too hard,Full-time,$25000 or more,White,Male,16,Industrial and miscellaneous chemicals,First-line supervisors of production and operating workers,2,Ballot c
2002,Often,Somewhat satisfied,Good,Very true,Very true,No,Not at all hard,Full-time,$25000 or more,White,Female,13,"Resin, synthetic rubber and fibers, and filaments manufacturing",Secretaries and administrative assistants,3,Ballot a
2002,Always,Very satisfied,Excellent,Very true,Very true,No,Very hard,Full-time,$25000 or more,White,Female,2,"Colleges and universities, including junior colleges",Registered nurses,4,Ballot b
2002,Always,Somewhat satisfied,Good,Somewhat true,Somewhat true,Yes,Not at all hard,Full-time,$25000 or more,White,Male,7,Industrial and miscellaneous chemicals,Electricians,5,Ballot c
2002,Hardly ever,Somewhat satisfied,Very good,Very true,Somewhat true,No,Not too hard,Full-time,$25000 or more,White,Male,12,Aircraft and parts manufacturing,"First-line supervisors of mechanics, installers, and repairers",6,Ballot a
2002,No issp,Not applicable,Very good,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,White,Female,16,Elementary and secondary schools,Secondary school teachers,7,Ballot a
2002,No issp,Not applicable,Good,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,White,Female,12,Legal services,Word processors and typists,8,Ballot c
2002,Sometimes,Not too satisfied,Very good,Not at all true,Somewhat true,No,Not too hard,Full-time,$25000 or more,White,Male,14,Wired telecommunications carriers,General and operations managers,9,Ballot c
2002,Hardly ever,Very satisfied,Good,Somewhat true,Somewhat true,No,Not at all hard,Part-time,Lt $1000,Other,Female,13,Clothing stores,Retail salespersons,10,Ballot a
2002,Often,Somewhat satisfied,Very good,Not too true,Somewhat true,No,Not at all hard,Full-time,$25000 or more,White,Male,14,"Commercial, industrial, and other intangible assets rental and leasing","Sales representatives, services, all other",11,Ballot b
2002,Often,Very satisfied,Poor,Somewhat true,Somewhat true,No,Not at all hard,Full-time,$25000 or more,White,Male,11,"Machine shops; turned product; screw, nut, and bolt manufacturing","Managers, all other",12,Ballot a
2002,Always,Somewhat satisfied,Excellent,Very true,Not too true,No,Not too hard,Full-time,$25000 or more,Black,Male,18,"Construction, and mining and oil and gas field machinery manufacturing    ","Managers, all other",13,Ballot b
2002,Hardly ever,Very satisfied,Fair,Very true,Not at all true,No,Somewhat hard,Part-time,$10000 - 14999,White,Female,12,"Wholesale electronic markets, agents and brokers",Secretaries and administrative assistants,14,Ballot c
2002,No issp,Not applicable,Very good,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Other,Female,12,Hospitals,Registered nurses,15,Ballot a
2002,No issp,Not applicable,Good,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,White,Female,12,Computer and peripheral equipment manufacturing    ,Word processors and typists,16,Ballot c
2002,No issp,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,White,Female,12,Administration of human resource programs,"Eligibility interviewers, government programs",17,Ballot a
2002,Sometimes,Somewhat satisfied,Excellent,Very true,Very true,No,Not too hard,Full-time,$25000 or more,White,Male,15,Beauty salons,"Hairdressers, hairstylists, and cosmetologists",18,Ballot b
2002,Always,Very satisfied,Good,Somewhat true,Somewhat true,Yes,Very hard,Full-time,$25000 or more,White,Male,13,Construction,"First-line supervisors of mechanics, installers, and repairers",19,Ballot c
2002,Sometimes,Very satisfied,Very good,Somewhat true,Somewhat true,No,Not at all hard,Full-time,$25000 or more,White,Male,15,"Other professional, scientific, and technical services",First-line supervisors of office and administrative support workers,20,Ballot a
2002,Sometimes,Somewhat satisfied,Good,Very true,Very true,Yes,Not too hard,Full-time,$25000 or more,Black,Female,13,Hospitals,Health practitioner support technologists and technicians,21,Ballot c
2002,Always,Not too satisfied,Fair,Not too true,Somewhat true,No,Very hard,Full-time,$15000 - 19999,Black,Male,12,Automotive equipment rental and leasing,Automotive and watercraft service attendants,22,Ballot a
2002,Often,Somewhat satisfied,Very good,Somewhat true,Somewhat true,No,Very hard,Full-time,$25000 or more,Other,Male,16,Gasoline stations,Supervisors of transportation and material moving workers,23,Ballot b
2002,Often,Very satisfied,Good,Somewhat true,Somewhat true,No,Not too hard,Full-time,$25000 or more,Black,Female,16,Wired telecommunications carriers,Customer service representatives,24,Ballot a
2002,Hardly ever,Somewhat satisfied,Good,Very true,Very true,No,Not at all hard,Full-time,$25000 or more,White,Male,14,"Electric power generation, transmission, and distribution",Other healthcare practitioners and technical occupations,25,Ballot b
2002,No issp,Not applicable,Fair,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,White,Female,12,Hospitals,"Nursing, psychiatric, and home health aides",26,Ballot c
2002,No issp,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,White,Female,14,Executive offices and legislative bodies,"Surveyors, cartographers, and photogrammetrists",27,Ballot a
2002,Often,Somewhat satisfied,Very good,Not too true,Not too true,Yes,Not at all hard,Part-time,$25000 or more,Other,Female,17,Computer systems design and related services,Computer support specialists,28,Ballot b
2002,Sometimes,Not too satisfied,Very good,Somewhat true,Somewhat true,No,Very hard,Part-time,$1000 to 2999,Other,Female,12, restaurants and other food services,Waiters and waitresses,29,Ballot a
2002,Never,Somewhat satisfied,Excellent,Dont know,Somewhat true,No,Not too hard,Full-time,$10000 - 14999,White,Female,9,Traveler accommodation,Food preparation workers,30,Ballot b
2002,Hardly ever,Somewhat satisfied,Excellent,Not too true,Not too true,No,Somewhat hard,Full-time,$25000 or more,Black,Female,14,Non-depository credit and related activities,Computer support specialists,31,Ballot c
2002,Often,Very satisfied,Very good,Very true,Very true,No,Somewhat hard,Full-time,$25000 or more,White,Male,16,Employment services,"Sales and related workers, all other",32,Ballot a
2002,Sometimes,Very satisfied,Excellent,Somewhat true,Somewhat true,No,Not too hard,Full-time,$25000 or more,White,Female,16,Other information services,Editors,33,Ballot b
2002,Sometimes,Very satisfied,Very good,Very true,Somewhat true,Yes,Not at all hard,Full-time,$25000 or more,White,Male,17,Elementary and secondary schools,Counselors,34,Ballot c
2002,Never,Very satisfied,Excellent,Not at all true,Very true,Yes,Not too hard,Full-time,$4000 to 4999,White,Male,16,Business support services,Writers and authors,35,Ballot c
2002,No issp,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Lt $1000,White,Male,8,Newspaper publishers,"News analysts, reporters and correspondents",36,Ballot a
2002,Always,Somewhat satisfied,Fair,Not at all true,Somewhat true,No,Somewhat hard,Part-time,$7000 to 7999,White,Female,14,Real estate,Real estate brokers and sales agents,37,Ballot b
2002,Sometimes,Very satisfied,Fair,Very true,Somewhat true,No,Not at all hard,Full-time,$25000 or more,White,Female,20,Computer systems design and related services,Computer support specialists,38,Ballot c
2002,Often,Somewhat satisfied,Good,Somewhat true,Not too true,No,Not at all hard,Full-time,Refused,White,Male,14,"Management, scientific, and technical consulting services",Management analysts,39,Ballot a
2002,Often,Somewhat satisfied,Very good,Very true,Very true,No,Not too hard,Full-time,$25000 or more,White,Male,13,Real estate,"First-line supervisors of mechanics, installers, and repairers",40,Ballot c
2002,No issp,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,White,Female,16,Aerospace product and parts manufacturing,Secretaries and administrative assistants,41,Ballot a
2002,Sometimes,Not too satisfied,Excellent,Very true,Very true,No,Somewhat hard,Part-time,$10000 - 14999,Other,Female,10, restaurants and other food services,Food preparation workers,42,Ballot a
2002,Sometimes,Very satisfied,Very good,Very true,Very true,No,Not too hard,Full-time,$25000 or more,White,Female,17,Elementary and secondary schools,Secondary school teachers,43,Ballot b
2002,Sometimes,Somewhat satisfied,Excellent,Somewhat true,Very true,No,Not at all hard,Full-time,$25000 or more,Black,Female,14,Bus service and urban transit,Computer support specialists,44,Ballot a
2002,Often,Somewhat satisfied,Good,Very true,Not at all true,No,Not too hard,Part-time,$7000 to 7999,White,Female,13,Child day care services,Preschool and kindergarten teachers,45,Ballot c
2002,Often,Somewhat satisfied,Good,Somewhat true,Very true,No,Not at all hard,Full-time,$25000 or more,White,Male,10,Construction,Elevator installers and repairers,46,Ballot a
2002,No issp,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Full-time,Lt $1000,White,Male,9,Not specified retail trade,Retail salespersons,47,Ballot b
2002,No issp,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,White,Male,14,Not applicable,Not applicable,48,Ballot c
2002,Often,Very satisfied,Good,Very true,Very true,No,Not too hard,Full-time,$25000 or more,White,Female,12,Legal services,Paralegals and legal assistants,49,Ballot b
2002,No issp,Not applicable,Excellent,Not applicable,Not applicable,Not applicable,Not applicable,Full-time,Not applicable,White,Female,12,Beauty salons,Retail salespersons,50,Ballot c
2002,No issp,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,White,Female,12,Insurance carriers and related activities,Secretaries and administrative assistants,51,Ballot a
2002,No issp,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,White,Male,15,Insurance carriers and related activities,First-line supervisors of non-retail sales workers,52,Ballot b
2002,Always,Not at all satisfied,Fair,Not at all true,Not at all true,No,Not at all hard,Part-time,$15000 - 19999,White,Male,13,Construction,"Drywall installers, ceiling tile installers, and tapers",53,Ballot c
2002,Sometimes,Somewhat satisfied,Poor,Somewhat true,Not at all true,No,Very hard,Full-time,$25000 or more,White,Female,17,Elementary and secondary schools,Secondary school teachers,54,Ballot a
2002,Often,Somewhat satisfied,Fair,Very true,Very true,No,Not too hard,Full-time,$25000 or more,White,Male,20,Construction,"Lifeguards and other recreational, and all other protective service workers",55,Ballot c
2002,Always,Somewhat satisfied,Good,Not too true,Somewhat true,No,Not at all hard,Full-time,$25000 or more,White,Male,13,Motor vehicles and motor vehicle equipment manufacturing,"Purchasing agents, except wholesale, retail, and farm products",56,Ballot a
2002,No issp,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,White,Female,13,"Communications, and audio and video equipment manufacturing        ","Electrical, electronics, and electromechanical assemblers",57,Ballot c
2002,Hardly ever,Very satisfied,Excellent,Very true,Somewhat true,No,Not too hard,Full-time,$25000 or more,White,Female,16,Elementary and secondary schools,Secondary school teachers,58,Ballot a
2002,No issp,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Part-time,$1000 to 2999,White,Female,12,Construction,Receptionists and information clerks,59,Ballot b
2002,No answer,No answer,Very good,No answer,No answer,No answer,No answer,Full-time,$25000 or more,Other,Female,14,Non-depository credit and related activities,"Office clerks, general",60,Ballot a
2002,Sometimes,Somewhat satisfied,Very good,Somewhat true,Somewhat true,No,Not too hard,Full-time,$25000 or more,White,Male,18,Computer systems design and related services,"Software developers, applications and systems software",61,Ballot b
2002,Sometimes,Very satisfied,Good,Very true,Somewhat true,Yes,Not at all hard,Full-time,$5000 to 5999,White,Female,14,"Securities, commodities, funds, trusts, and other financial investments",First-line supervisors of office and administrative support workers,62,Ballot c
2002,Sometimes,Somewhat satisfied,Good,Somewhat true,Very true,Yes,Somewhat hard,Full-time,$25000 or more,White,Female,19,"Justice, public order, and safety activities",Counselors,63,Ballot a
2002,Sometimes,Very satisfied,Very good,Very true,Somewhat true,No,Not too hard,Full-time,$15000 - 19999,White,Female,12,Elementary and secondary schools,Secretaries and administrative assistants,64,Ballot b
2002,Hardly ever,Very satisfied,Good,Very true,Very true,No,Not too hard,Full-time,$10000 - 14999,White,Male,8,Administration of economic programs and space research,"Production workers, all other",65,Ballot c
2002,No issp,Not applicable,Poor,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,White,Male,12,Automotive repair and maintenance,Automotive service technicians and mechanics,66,Ballot c
2002,Always,Not at all satisfied,Good,Somewhat true,Not too true,No,Not at all hard,Part-time,Don't know,Black,Female,11,Home health care services,"Nursing, psychiatric, and home health aides",67,Ballot b
2002,No issp,Not applicable,Fair,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Black,Female,5,Not applicable,Not applicable,68,Ballot a
2002,No issp,Not applicable,Good,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Black,Male,9,Bus service and urban transit,Janitors and building cleaners,69,Ballot b
2002,No issp,Not applicable,Fair,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Black,Female,9,Hospitals,"Nursing, psychiatric, and home health aides",70,Ballot c
2002,No issp,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Black,Female,13,Hospitals,Dietitians and nutritionists,71,Ballot a
2002,No issp,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Black,Female,11,National security and international affairs,"Office clerks, general",72,Ballot b
2002,No issp,Not applicable,Fair,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Black,Female,11,Pharmacies and drug stores,Retail salespersons,73,Ballot b
2002,Sometimes,Not too satisfied,Good,Not at all true,Not at all true,No,Somewhat hard,Full-time,$15000 - 19999,Black,Male,11,Motor vehicles and motor vehicle equipment manufacturing,Industrial truck and tractor operators,74,Ballot c
2002,Sometimes,Very satisfied,Good,Somewhat true,Very true,No,Not too hard,Full-time,$25000 or more,Black,Female,15,Insurance carriers and related activities,General and operations managers,75,Ballot c
2002,No issp,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,White,Male,13,Construction,Electrical power-line installers and repairers,76,Ballot a
2002,Sometimes,Very satisfied,Very good,Somewhat true,Very true,No,Not at all hard,Full-time,$25000 or more,White,Male,14,Motor vehicles and motor vehicle equipment manufacturing,"Drilling and boring machine tool setters, operators, and tenders,  metal and plastic",77,Ballot b
2002,Sometimes,Very satisfied,Excellent,Very true,Very true,No,Not at all hard,Full-time,$25000 or more,White,Male,15,"Electric power generation, transmission, and distribution",Electricians,78,Ballot a
2002,No issp,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Full-time,$25000 or more,White,Female,13,Pharmacies and drug stores,Health practitioner support technologists and technicians,79,Ballot c
2002,Sometimes,Somewhat satisfied,Very good,Somewhat true,Not at all true,No,Not at all hard,Full-time,$25000 or more,White,Male,13,"Machine shops; turned product; screw, nut, and bolt manufacturing","Grinding, lapping, polishing, and buffing machine tool setters,  operators, and tenders, metal and plastic",80,Ballot b
2002,Sometimes,Somewhat satisfied,Very good,Somewhat true,Somewhat true,No,Not at all hard,Full-time,$25000 or more,White,Male,11,Construction,First-line supervisors of construction trades and extraction workers,81,Ballot c
2002,Always,Somewhat satisfied,Very good,Very true,Not too true,No,Very hard,Full-time,$25000 or more,White,Female,14,Hospitals,Diagnostic related technologists and technicians,82,Ballot b
2002,No issp,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Part-time,$7000 to 7999,White,Female,13,Elementary and secondary schools,Food preparation workers,83,Ballot c
