Annual,AMean,AMedian,APct10,APct25,APct75,APct90,computerizationprob,EmpPrse,Hourly,HMean,HMedian,HPct10,HPct25,HPct75,HPct90,MeanPrse,NumberofRecords,OccCode,OccGroup,occtitle,occupation,soc10,TotEmp
,185850,175110,68600,111040,,#,0.015,0.7,,89.35,84.19,32.98,53.38,#,#,0.4,1,11-1011,detailed,Chief Executives,Chief Executives,11-1011,238940
,119460,97730,44190,64750,152270,#,0.16,0.3,,57.44,46.99,21.24,31.13,73.21,#,0.2,1,11-1021,detailed,General and Operations Managers,General and Operations Managers,11-1021,2145140
,95810,62940,28060,40080,111370,#,0.24,4.4,,46.06,30.26,13.49,19.27,53.54,#,5.3,1,13-1011,detailed,"Agents and Business Managers of Artists, Performers, and Athletes",Agents and Business Managers of Artists,13-1011,13230
,62280,56270,31220,41690,75140,"101,180",0.87,3.5,,29.94,27.05,15.01,20.04,36.12,48.65,1.8,1,13-1021,detailed,"Buyers and Purchasing Agents, Farm Products",Buyers and Purchasing Agents,13-1021,12160
,59270,52940,30200,39430,71210,"95,590",0.29,1.6,,28.5,25.45,14.52,18.96,34.23,45.96,0.7,1,13-1022,detailed,"Wholesale and Retail Buyers, Except Farm Products",Wholesale and Retail Buyers,13-1022,111200
,66120,62220,37850,47620,80870,"99,960",0.77,0.6,,31.79,29.91,18.2,22.9,38.88,48.06,0.2,1,13-1023,detailed,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Purchasing Agents,13-1023,291540
,64300,62980,37880,47590,77910,"94,190",0.98,1.3,,30.91,30.28,18.21,22.88,37.46,45.29,0.4,1,13-1031,detailed,"Claims Adjusters, Examiners, and Investigators",Claims Adjusters,13-1031,271600
,65300,64020,42770,52700,76970,"92,550",0.98,5.1,,31.39,30.78,20.56,25.34,37,44.5,0.9,1,13-1032,detailed,"Insurance Appraisers, Auto Damage",Insurance Appraisers,13-1032,15270
,69180,65640,37390,48810,84600,"102,940",0.08,0.6,,33.26,31.56,17.98,23.46,40.67,49.49,0.4,1,13-1041,detailed,Compliance Officers,Compliance Officers,13-1041,257010
,64810,60390,34720,45650,79000,"100,570",0.57,0.8,,31.16,29.03,16.69,21.95,37.98,48.35,0.3,1,13-1051,detailed,Cost Estimators,Cost Estimators ,13-1051,216270
,43920,30910,17870,19950,58330,"88,950",0.97,19.1,,21.11,14.86,8.59,9.59,28.04,42.76,10.3,1,13-1074,detailed,Farm Labor Contractors,Farm Labor Contractors,13-1074,1230
,77470,74260,45830,57890,94200,"115,960",0.012,1.1,,37.25,35.7,22.03,27.83,45.29,55.75,0.3,1,13-1081,detailed,Logisticians,Logisticians,13-1081,133770
,91770,81320,45970,60450,109670,"150,220",0.13,0.9,,44.12,39.1,22.1,29.06,52.73,72.22,0.5,1,13-1111,detailed,Management Analysts,Management Analysts,13-1111,614110
