"","idvar","naicsind07","censusocc00","decline","declineord"
"1","2002-21","Hospitals","Health practitioner support technologists and technicians",NA,NA
"2","2002-52","Insurance carriers and related activities","First-line supervisors of non-retail sales workers",NA,NA
"3","2002-56","Motor vehicles and motor vehicle equipment manufacturing","Purchasing agents, except wholesale, retail, and farm products",NA,NA
"8","2002-195","Natural gas distribution","Miscellaneous plant and system operators",NA,NA
"9","2002-237","Furniture and home furnishings stores","Miscellaneous assemblers and fabricators",NA,NA
"10","2002-241","Air transportation","Other transportation workers",NA,NA
"12","2002-310","Other direct selling establishments","Door-to-door sales workers, news and street vendors, and related workers",NA,NA
"15","2002-339","Pharmaceutical and medicine manufacturing","Physical scientists, all other",NA,NA
"18","2002-361","Hospitals","Clinical laboratory technologists and technicians",NA,NA
"25","2002-574","Architectural, engineering, and related services","Miscellaneous life, physical, and social science technicians",NA,NA
"26","2002-608","U.s. army","Military enlisted tactical operations and air/weapons specialists and crew members",NA,NA
"29","2002-679","Automobile dealers","Wholesale and retail buyers, except farm products",NA,NA
"30","2002-680","Groceries and related products, merchant wholesalers","Buyers and purchasing agents, farm products",NA,NA
"31","2002-705","Not specified food industries","Electrical and electronics repairers, industrial and utility",NA,NA
"35","2002-773","Elementary and secondary schools","Other education, training, and library workers",NA,NA
"37","2002-784","National security and international affairs","First-line enlisted military supervisors",NA,NA
"59","2002-1317","U.s. coast guard","Military, rank not specified",NA,NA
"73","2002-1849","Miscellaneous nonmetallic mineral product manufacturing","Molders, shapers, and casters, except metal and plastic",NA,NA
"76","2002-2057","Individual and family services","First-line supervisors of personal service workers",NA,NA
"124","2010-678","U.s. army","Military officer special and tactical operations leaders",NA,NA
"224","2018-1220","Rail transportation","Railroad conductors and yardmasters",NA,NA
