"","X.1","X","year","stress","satjob1","health1","jobsecok","fringeok","secondwk","famwkoff","partfull","rincome","race","sex","educ","naicsind07","censusocc00","id","ballot","isco08","stressd","stressn","satjob1d","satjob1n","health1d","health1n","jobsecokd","jobsecokn","fringeokd","fringeokn","secondwkd","famwkoffd","famwkoffn","fulld","rincomed","blackraced","femalesexd","colleged","idvar","computefrey","pct_software","pct_robot","pct_ai","naics_id","yearnaics","ko_ratio","kl_ratio","decline","declineord","declinefac"
"1",1,1,"2002","Sometimes","Very satisfied","Excellent","Very true","Very true","Yes","Not at all hard","Full-time","$25000 or more","White","Female","14","Rail transportation","Paralegals and legal assistants",1,"Ballot a",3411,0,2,1,3,1,4,1,3,1,3,1,1,3,1,1,0,0,0,"2002-1",0.66,0.16,0.03,0.25,1,"2002-1",0.265016923031737,0.684658989466167,0,2.42857142857143,"Average"
"2",2,2,"2002","Hardly ever","Very satisfied","Good","Very true","Very true","No","Not too hard","Full-time","$25000 or more","White","Male","16","Industrial and miscellaneous chemicals","First-line supervisors of production and operating workers",2,"Ballot c",3122,0,1,1,3,1,2,1,3,1,3,0,1,2,1,1,0,1,1,"2002-2",0.016,0.56,0.38,0.96,2,"2002-2",0.229780408968689,1.43050126323525,0,4,"Little or no change"
"3",3,3,"2002","Often","Somewhat satisfied","Good","Very true","Very true","No","Not at all hard","Full-time","$25000 or more","White","Female","13","Resin, synthetic rubber and fibers, and filaments manufacturing","Secretaries and administrative assistants",3,"Ballot a",3343,1,3,1,2,1,2,1,3,1,3,0,1,3,1,1,0,0,0,"2002-3",0.68,0.33,0.43,0.09,3,"2002-3",0.109470640849889,0.468169469857377,0.5,3,"Slower than average"
"4",4,4,"2002","Always","Very satisfied","Excellent","Very true","Very true","No","Very hard","Full-time","$25000 or more","White","Female","2","Colleges and universities, including junior colleges","Registered nurses",4,"Ballot b",2221,1,4,1,3,1,4,1,3,1,3,0,0,0,1,1,0,0,0,"2002-4",0.058,0.43,0.22,0.78,4,"2002-4",0.0346388467106889,0.0672407514512778,0,0,"Much faster than average"
"5",5,5,"2002","Always","Somewhat satisfied","Good","Somewhat true","Somewhat true","Yes","Not at all hard","Full-time","$25000 or more","White","Male","7","Industrial and miscellaneous chemicals","Electricians",5,"Ballot c",7411,1,4,1,2,1,2,1,2,1,2,1,1,3,1,1,0,1,0,"2002-5",0.15,0.4,0.67,0.6,2,"2002-2",0.229780408968689,1.43050126323525,0,0.5,"Much faster than average"
"6",6,6,"2002","Hardly ever","Somewhat satisfied","Very good","Very true","Somewhat true","No","Not too hard","Full-time","$25000 or more","White","Male","12","Aircraft and parts manufacturing","First-line supervisors of mechanics, installers, and repairers",6,"Ballot a",7231,0,1,1,2,1,3,1,3,1,2,0,1,2,1,1,0,1,0,"2002-6",0.6453,0.376,0.684,0.48,5,"2002-5",0.116943594487535,0.424107200461077,0.1,2.3,"Average"
"7",7,7,"2002","No issp","Not applicable","Very good","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","White","Female","16","Elementary and secondary schools","Secondary school teachers",7,"Ballot a",2330,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,"2002-7",0.0078,0.19,0.1,0.43,6,"2002-6",0.0346388467106889,0.0672407514512778,0,2,"Average"
"8",8,8,"2002","No issp","Not applicable","Good","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","White","Female","12","Legal services","Word processors and typists",8,"Ballot c",4131,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"2002-8",0.81,0.18,0.5,0.09,7,"2002-7",0.103639249240435,0.231090810625442,1,5,"Decline"
"9",9,9,"2002","Sometimes","Not too satisfied","Very good","Not at all true","Somewhat true","No","Not too hard","Full-time","$25000 or more","White","Male","14","Wired telecommunications carriers","General and operations managers",9,"Ballot c",1120,0,2,0,1,1,3,0,0,1,2,0,1,2,1,1,0,1,0,"2002-9",0.0875,0.4,0.175,0.48,8,"2002-8",0.325524344787214,0.953869385177179,0.5,3,"Slower than average"
"10",10,10,"2002","Hardly ever","Very satisfied","Good","Somewhat true","Somewhat true","No","Not at all hard","Part-time","Lt $1000","Other","Female","13","Clothing stores","Retail salespersons",10,"Ballot a",5223,0,1,1,3,1,2,1,2,1,2,0,1,3,0,0,0,0,0,"2002-10",0.95,0.02,0.03,0.02,9,"2002-9",0.125375326854501,0.220138923246442,0.5,4.5,"Little or no change"
