"","url","title","authors","paper_number","issued","nber_programs","year","abstract","pdflink","idx","firstauthor"
"1","https://www.nber.org/papers/w24196","Artificial Intelligence, Automation and Work","Daron Acemoglu, Pascual Restrepo","24196","Issued in January 2018","NBER Program(s):Economic Fluctuations and Growth, Labor Studies","2018","
We summarize a framework for the study of the implications of automation and AI on the demand for labor, wages, and employment. Our task-based framework emphasizes the displacement effect that automation creates as machines and AI replace labor in tasks that it used to perform. This displacement effect tends to reduce the demand for labor and wages. But it is counteracted by a productivity effect, resulting from the cost savings generated by automation, which increase the demand for labor in non-automated tasks. The productivity effect is complemented by additional capital accumulation and the deepening of automation (improvements of existing machinery), both of which further increase the demand for labor. These countervailing effects are incomplete. Even when they are strong, automation in- creases output per worker more than wages and reduce the share of labor in national income. The more powerful countervailing force against automation is the creation of new labor-intensive tasks, which reinstates labor in new activities and tends to increase the labor share to counterbalance the impact of automation. Our framework also highlights the constraints and imperfections that slow down the adjustment of the economy and the labor market to automation and weaken the resulting productivity gains from this transformation: a mismatch between the skill requirements of new technologies, and the possibility that automation is being introduced at an excessive rate, possibly at the expense of other productivity-enhancing technologies.
","https://www.nber.org/papers/w24196.pdf",1,"Daron Acemoglu"
"2","https://www.nber.org/papers/w24119","Low-Skill and High-Skill Automation","Daron Acemoglu, Pascual Restrepo","24119","Issued in December 2017","NBER Program(s):Labor Studies","2017","
We present a task-based model in which high- and low-skill workers compete against machines in the production of tasks. Low-skill (high-skill) automation corresponds to tasks performed by low-skill (high-skill) labor being taken over by capital. Automation displaces the type of labor it directly affects, depressing its wage. Through ripple effects, automation also affects the real wage of other workers. Counteracting these forces, automation creates a positive productivity effect, pushing up the price of all factors. Because capital adjusts to keep the interest rate constant, the productivity effect dominates in the long run. Finally, low-skill (high-skill) automation increases (reduces) wage inequality.
","https://www.nber.org/papers/w24119.pdf",2,"Daron Acemoglu"
"3","https://www.nber.org/papers/w24321","Modeling Automation","Daron Acemoglu, Pascual Restrepo","24321","Issued in February 2018","NBER Program(s):Economic Fluctuations and Growth, Labor Studies","2018","
This paper points out that modeling automation as factor-augmenting technological change has several unappealing implications. Instead, modeling it as the process of machines replacing tasks previously performed by labor is both descriptively realistic and leads to distinct and empirically plausible predictions. In contrast to factor-augmenting technological change, the substitution of machines for labor in additional tasks always reduces the labor share in national income and can reduce the equilibrium wage (for realistic parameter values). This approach to automation also enables a discussion of several new forces at work, including the introduction of new tasks, changes in the comparative advantage of labor relative to capital, the deepening of automation (whereby machines become more productive in tasks that are already automated), and the role of the elasticity of substitution and capital accumulation in the long-run adjustment of the economy. 
","https://www.nber.org/papers/w24321.pdf",3,"Daron Acemoglu"
"4","https://www.nber.org/papers/w25684","Automation and New Tasks: How Technology Displaces and Reinstates Labor","Daron Acemoglu, Pascual Restrepo","25684","Issued in March 2019","NBER Program(s):Labor Studies","2019","
We present a framework for understanding the effects of automation and other types of technological changes on labor demand, and use it to interpret changes in US employment over the recent past. At the center of our framework is the allocation of tasks to capital and labor—the task content of production. Automation, which enables capital to replace labor in tasks it was previously engaged in, shifts the task content of production against labor because of a displacement effect. As a result, automation always reduces the labor share in value added and may reduce labor demand even as it raises productivity. The effects of automation are counterbalanced by the creation of new tasks in which labor has a comparative advantage. The introduction of new tasks changes the task content of production in favor of labor because of a reinstatement effect, and always raises the labor share and labor demand. We show how the role of changes in the task content of production—due to automation and new tasks—can be inferred from industry-level data. Our empirical decomposition suggests that the slower growth of employment over the last three decades is accounted for by an acceleration in the displacement effect, especially in manufacturing, a weaker reinstatement effect, and slower growth of productivity than in previous decades.
","https://www.nber.org/papers/w25684.pdf",4,"Daron Acemoglu"
"5","https://www.nber.org/papers/w24421","Demographics and Automation","Daron Acemoglu, Pascual Restrepo","24421","Issued in March 2018","NBER Program(s):Aging, Economic Fluctuations and Growth, Labor Studies","2018","
We argue theoretically and document empirically that aging leads to greater (industrial) automation, and in particular, to more intensive use and development of robots. Using US data, we document that robots substitute for middle-aged workers (those between the ages of 36 and 55). We then show that demographic change—corresponding to an increasing ratio of older to middle-aged workers—is associated with greater adoption of robots and other automation technologies across countries and with more robotics-related activities across US commuting zones. We also provide evidence of more rapid development of automation technologies in countries undergoing greater demographic change. Our directed technological change model further predicts that the induced adoption of automation technology should be more pronounced in industries that rely more on middle-aged workers and those that present greater opportunities for automation. Both of these predictions receive support from country-industry variation in the adoption of robots. Our model also implies that the productivity implications of aging are ambiguous when technology responds to demographic change, but we should expect productivity to increase and labor share to decline relatively in industries that are most amenable to automation, and this is indeed the pattern we find in the data. 
","https://www.nber.org/papers/w24421.pdf",5,"Daron Acemoglu"
"6","https://www.nber.org/papers/w23928","Artificial Intelligence and Economic Growth","Philippe Aghion, Benjamin F. Jones, Charles I. Jones","23928","Issued in October 2017","NBER Program(s):Economic Fluctuations and Growth, Productivity, Innovation, and Entrepreneurship","2017","
This paper examines the potential impact of artificial intelligence (A.I.) on economic growth. We model A.I. as the latest form of automation, a broader process dating back more than 200 years. Electricity, internal combustion engines, and semiconductors facilitated automation in the last century, but A.I. now seems poised to automate many tasks once thought to be out of reach, from driving cars to making medical recommendations and beyond. How will this affect economic growth and the division of income between labor and capital? What about the potential emergence of “singularities” and “superintelligence,” concepts that animate many discussions in the machine intelligence community? How will the linkages between A.I. and growth be mediated by firm-level considerations, including organization and market structure? The goal throughout is to refine a set of critical questions about A.I. and economic growth and to contribute to shaping an agenda for the field. One theme that emerges is based on Baumol’s “cost disease” insight: growth may be constrained not by what we are good at but rather by what is essential and yet hard to improve.
","https://www.nber.org/papers/w23928.pdf",6,"Philippe Aghion"
"7","https://www.nber.org/papers/w22252","The Race Between Machine and Man: Implications of Technology for Growth, Factor Shares and Employment","Daron Acemoglu, Pascual Restrepo","22252","Issued in May 2016, Revised in June 2017","NBER Program(s):Economic Fluctuations and Growth","2016","
We examine the concerns that new technologies will render labor redundant in a framework in which tasks previously performed by labor can be automated and new versions of existing tasks, in which labor has a comparative advantage, can be created. In a static version where capital is fixed and technology is exogenous, automation reduces employment and the labor share, and may even reduce wages, while the creation of new tasks has the opposite effects. Our full model endogenizes capital accumulation and the direction of research towards automation and the creation of new tasks. If the long-run rental rate of capital relative to the wage is sufficiently low, the long-run equilibrium involves automation of all tasks. Otherwise, there exists a stable balanced growth path in which the two types of innovations go hand-in-hand. Stability is a consequence of the fact that automation reduces the cost of producing using labor, and thus discourages further automation and encourages the creation of new tasks. In an extension with heterogeneous skills, we show that inequality increases during transitions driven both by faster automation and introduction of new tasks, and characterize the conditions under which inequality is increasing or stable in the long run.
","https://www.nber.org/papers/w22252.pdf",7,"Daron Acemoglu"
"8","https://www.nber.org/papers/w23806","Should Robots be Taxed?","Joao Guerreiro, Sergio Rebelo, Pedro Teles","23806","Issued in September 2017, Revised in January 2019","NBER Program(s):Economic Fluctuations and Growth, Public Economics","2017","
We use a model of automation to show that with the current U.S. tax system, a fall in automation costs could lead to a massive rise in income inequality. This inequality can be reduced by making the current income-tax system more progressive and by taxing robots. But this solution involves a substantial efficiency loss. A Mirrleesian optimal income tax can reduce inequality at a smaller efficiency cost. An alternative approach is to amend the current tax system to include a lump-sum rebate. With the rebate in place, it is optimal to tax robots as long as there is partial automation.
","https://www.nber.org/papers/w23806.pdf",8,"Joao Guerreiro"
"9","https://www.nber.org/papers/w22918","Disappearing Routine Jobs: Who, How, and Why?","Guido Matias Cortes, Nir Jaimovich, Henry E. Siu","22918","Issued in December 2016","NBER Program(s):Economic Fluctuations and Growth, Labor Studies","2016","
We study the deterioration of employment in middle-wage, routine occupations in the United States in the last 35 years. The decline is primarily driven by changes in the propensity to work in routine jobs for individuals from a small set of demographic groups. These same groups account for a substantial fraction of both the increase in non-employment and employment in low-wage, non-routine manual occupations observed during the same time period. We analyze a general neoclassical model of the labor market featuring endogenous participation and occupation choice. We show that in response to an increase in automation technology, the model embodies an important tradeoff between reallocating employment across occupations and reallocation of workers towards non-employment. Quantitatively, we find that advances in automation technology on their own account for a relatively small portion of the joint decline in routine employment and associated rise in non-routine manual employment and non-employment.
","https://www.nber.org/papers/w22918.pdf",9,"Guido Matias Cortes"
"10","https://www.nber.org/papers/w25682","The Wrong Kind of AI? Artificial Intelligence and the Future of Labor Demand","Daron Acemoglu, Pascual Restrepo","25682","Issued in March 2019","NBER Program(s):Labor Studies","2019","
Artificial Intelligence is set to influence every aspect of our lives, not least the way production is organized. AI, as a technology platform, can automate tasks previously performed by labor or create new tasks and activities in which humans can be productively employed. Recent technological change has been biased towards automation, with insufficient focus on creating new tasks where labor can be productively employed. The consequences of this choice have been stagnating labor demand, declining labor share in national income, rising inequality and lower productivity growth. The current tendency is to develop AI in the direction of further automation, but this might mean missing out on the promise of the ""right"" kind of AI with better economic and social outcomes.
","https://www.nber.org/papers/w25682.pdf",10,"Daron Acemoglu"
"11","https://www.nber.org/papers/w23077","Secular Stagnation? The Effect of Aging on Economic Growth in the Age of Automation","Daron Acemoglu, Pascual Restrepo","23077","Issued in January 2017","NBER Program(s):Economic Fluctuations and Growth","2017","
Several recent theories emphasize the negative effects of an aging population on economic growth, either because of the lower labor force participation and productivity of older workers or because aging will create an excess of savings over desired investment, leading to secular stagnation. We show that there is no such negative relationship in the data. If anything, countries experiencing more rapid aging have grown more in recent decades. We suggest that this counterintuitive finding might reflect the more rapid adoption of automation technologies in countries undergoing more pronounced demographic changes, and provide evidence and theoretical underpinnings for this argument.
","https://www.nber.org/papers/w23077.pdf",11,"Daron Acemoglu"
"12","https://www.nber.org/papers/w24239","AI, Labor, Productivity and the Need for Firm-Level Data","Robert Seamans, Manav Raj","24239","Issued in January 2018","NBER Program(s):Productivity, Innovation, and Entrepreneurship","2018","
We summarize existing empirical findings regarding the adoption of robotics and AI and its effects on aggregated labor and productivity, and argue for more systematic collection of the use of these technologies at the firm level. Existing empirical work primarily uses statistics aggregated by industry or country, which precludes in-depth studies regarding the conditions under which robotics and AI complement or are substituting for labor. Further, firm-level data would also allow for studies of effects on firms of different sizes, the role of market structure in technology adoption, the impact on entrepreneurs and innovators, and the effect on regional economies amongst others. We highlight several ways that such firm-level data could be collected and used by academics, policymakers and other researchers.
","https://www.nber.org/papers/w24239.pdf",12,"Robert Seamans"
"13","https://www.nber.org/papers/w24835","Demography, Unemployment, Automation, and Digitalization: Implications for the Creation of (Decent) Jobs, 2010-2030","David E. Bloom, Mathew McKenna, Klaus Prettner","24835","Issued in July 2018","NBER Program(s):Development of the American Economy, Development Economics, Labor Studies","2018","
Globally, an estimated 734 million jobs will be required between 2010 and 2030 to accommodate recent and ongoing demographic shifts, account for plausible changes in labour force participation rates, and achieve target unemployment rates of at or below 4 percent for adults and at or below 8 percent for youth. The facts that i) most new jobs will be required in countries where “decent” jobs are less prevalent and ii) workers in many occupations are increasingly subject to risks of automation further compound the challenge of job creation, which is already quite sizable in historical perspective. Failure to create the jobs that are needed through 2030 would put currently operative social security systems under pressure and undermine efforts to guarantee the national social protection floors enshrined in the Sustainable Development Goals (SDGs).
","https://www.nber.org/papers/w24835.pdf",13,"David E. Bloom"
"14","https://www.nber.org/papers/w25438","From Immigrants to Robots: The Changing Locus of Substitutes for Workers","George J. Borjas, Richard B. Freeman","25438","Issued in January 2019","NBER Program(s):Labor Studies","2019","
Increased use of robots has roused concern about how robots and other new technologies change the world of work. Using numbers of robots shipped to primarily manufacturing industries as a supply shock to an industry labor market, we estimate that an additional robot reduces employment and wages in an industry by roughly as much as an additional 2 to 3 workers and by 3 to 4 workers in particular groups, which far exceed estimated effects of an additional immigrant on employment and wages. While the growth of robots in the 1996-2016 period of our data was too modest to be a major determinant of wages and employment, the estimated coefficients suggest that continued exponential growth of robots could disrupt job markets in the foreseeable future and thus merit attention from labor analysts.
","https://www.nber.org/papers/w25438.pdf",14,"George J. Borjas"
"15","https://www.nber.org/papers/w24689","AI and the Economy","Jason Furman, Robert Seamans","24689","Issued in June 2018","NBER Program(s):Productivity, Innovation, and Entrepreneurship","2018","
We review the evidence that artificial intelligence (AI) is having a large effect on the economy. Across a variety of statistics—including robotics shipments, AI startups, and patent counts—there is evidence of a large increase in AI-related activity. We also review recent research in this area which suggests that AI and robotics have the potential to increase productivity growth but may have mixed effects on labor, particularly in the short run. In particular, some occupations and industries may do well while others experience labor market upheaval. We then consider current and potential policies around AI that may help to boost productivity growth while also mitigating any labor market downsides including evaluating the pros and cons of an AI specific regulator, expanded antitrust enforcement, and alternative strategies for dealing with the labor-market impacts of AI, including universal basic income and guaranteed employment.
","https://www.nber.org/papers/w24689.pdf",15,"Jason Furman"
"16","https://www.nber.org/papers/w24871","Is Automation Labor-Displacing? Productivity Growth, Employment, and the Labor Share","David Autor, Anna Salomons","24871","Issued in July 2018, Revised in August 2018","NBER Program(s):Economic Fluctuations and Growth, Labor Studies","2018","
Many technological innovations replace workers with machines, but this capital-labor substitution need not reduce aggregate labor demand because it simultaneously induces four countervailing responses: own-industry output effects; cross-industry input–output effects; between-industry shifts; and final demand effects. We quantify these channels using four decades of harmonized cross-country and industry data, where we measure automation as industry-level movements in total factor productivity (TFP) that are common across countries. We find that automation displaces employment and reduces labor's share of value-added in the industries in which it originates (a direct effect). In the case of employment, these own-industry losses are reversed by indirect gains in customer industries and induced increases in aggregate demand. By contrast, own-industry labor share losses are not recouped elsewhere. Our framework can account for a substantial fraction of the reallocation of employment across industries and the aggregate fall in the labor share over the last three decades. It does not, however, explain why the labor share fell more rapidly during the 2000s
","https://www.nber.org/papers/w24871.pdf",16,"David Autor"
"17","https://www.nber.org/papers/w25619","Artificial Intelligence: The Ambiguous Labor Market Impact of Automating Prediction","Ajay Agrawal, Joshua S. Gans, Avi Goldfarb","25619","Issued in February 2019","NBER Program(s):Productivity, Innovation, and Entrepreneurship","2019","
Recent advances in artificial intelligence are primarily driven by machine learning, a prediction technology. Prediction is useful because it is an input into decision-making. In order to appreciate the impact of artificial intelligence on jobs, it is important to understand the relative roles of prediction and decision tasks. We describe and provide examples of how artificial intelligence will affect labor, emphasizing differences between when automating prediction leads to automating decisions versus enhancing decision-making by humans.
","https://www.nber.org/papers/w25619.pdf",17,"Ajay Agrawal"
