occ00,soc10,,,,,,,,,,,,
001,11-1011,,,,,,,,,,,,
002,11-1021,,,,,,,,,,,,
003,11-1031,,,,,,,,,,,,
004,11-2011,,,,,,,,,,,,
005,11-2020,,,,,,,,,,,,
006,11-2031,,,,,,,,,,,,
010,11-3011,,,,,,,,,,,,
011,11-3021,,,,,,,,,,,,
012,11-3031,,,,,,,,,,,,
013,11-3040,,,,,,,,,,,,
014,11-3051,,,,,,,,,,,,
015,11-3061,,,,,,,,,,,,
016,11-3071,,,,,,,,,,,,
020,11-9011,,,,,,,,,,,,
021,11-9012,,,,,,,,,,,,
022,11-9021,,,,,,,,,,,,
023,11-9030,,,,,,,,,,,,
030,11-9041,,,,,,,,,,,,
031,11-9051,,,,,,,,,,,,
032,11-9061,,,,,,,,,,,,
033,11-9071,,,,,,,,,,,,
034,11-9081,,,,,,,,,,,,
035,11-9111,,,,,,,,,,,,
036,11-9121,,,,,,,,,,,,
040,11-9131,,,,,,,,,,,,
041,11-9141,,,,,,,,,,,,
042,11-9151,,,,,,,,,,,,
043,11-9199,,,,,,,,,,,,
050,13-1011,,,,,,,,,,,,
051,13-1021,,,,,,,,,,,,
052,13-1022,,,,,,,,,,,,
053,13-1023,,,,,,,,,,,,
054,13-1030,,,,,,,,,,,,
056,13-1041,,,,,,,,,,,,
060,13-1051,,,,,,,,,,,,
062,13-1070,,,,,,,,,,,,
070,13-1081,,,,,,,,,,,,
071,13-1111,,,,,,,,,,,,
072,13-1121,,,,,,,,,,,,
073,13-1061,,,,,,,,,,,,
073,13-1199,,,,,,,,,,,,
080,13-2011,,,,,,,,,,,,
081,13-2021,,,,,,,,,,,,
082,13-2031,,,,,,,,,,,,
083,13-2041,,,,,,,,,,,,
084,13-2051,,,,,,,,,,,,
085,13-2052,,,,,,,,,,,,
086,13-2053,,,,,,,,,,,,
090,13-2061,,,,,,,,,,,,
091,13-2070,,,,,,,,,,,,
093,13-2081,,,,,,,,,,,,
094,13-2082,,,,,,,,,,,,
095,13-2099,,,,,,,,,,,,
100,15-1011,,,,,,,,,,,,
100,15-1051,,,,,,,,,,,,
100,15-1099,,,,,,,,,,,,
101,15-1021,,,,,,,,,,,,
102,15-1030,,,,,,,,,,,,
104,15-1041,,,,,,,,,,,,
106,15-1061,,,,,,,,,,,,
110,15-1071,,,,,,,,,,,,
111,15-1081,,,,,,,,,,,,
120,15-2011,,,,,,,,,,,,
121,15-2021,,,,,,,,,,,,
122,15-2031,,,,,,,,,,,,
123,15-2041,,,,,,,,,,,,
124,15-2090,,,,,,,,,,,,
130,17-1010,,,,,,,,,,,,
131,17-1020,,,,,,,,,,,,
132,17-2011,,,,,,,,,,,,
133,17-2021,,,,,,,,,,,,
134,17-2031,,,,,,,,,,,,
135,17-2041,,,,,,,,,,,,
136,17-2051,,,,,,,,,,,,
140,17-2061,,,,,,,,,,,,
141,17-2070,,,,,,,,,,,,
142,17-2081,,,,,,,,,,,,
143,17-2110,,,,,,,,,,,,
144,17-2121,,,,,,,,,,,,
145,17-2131,,,,,,,,,,,,
146,17-2141,,,,,,,,,,,,
150,17-2151,,,,,,,,,,,,
151,17-2161,,,,,,,,,,,,
152,17-2171,,,,,,,,,,,,
153,17-2199,,,,,,,,,,,,
154,17-3010,,,,,,,,,,,,
155,17-3020,,,,,,,,,,,,
156,17-3031,,,,,,,,,,,,
160,19-1010,,,,,,,,,,,,
161,19-1020,,,,,,,,,,,,
164,19-1030,,,,,,,,,,,,
165,19-1040,,,,,,,,,,,,
170,19-2010,,,,,,,,,,,,
171,19-2021,,,,,,,,,,,,
172,19-2030,,,,,,,,,,,,
174,19-2040,,,,,,,,,,,,
176,19-2099,,,,,,,,,,,,
180,19-3011,,,,,,,,,,,,
181,19-3020,,,,,,,,,,,,
182,19-3030,,,,,,,,,,,,
183,19-3041,,,,,,,,,,,,
184,19-3051,,,,,,,,,,,,
186,19-3090,,,,,,,,,,,,
190,19-4011,,,,,,,,,,,,
191,19-4021,,,,,,,,,,,,
192,19-4031,,,,,,,,,,,,
193,19-4041,,,,,,,,,,,,
194,19-4051,,,,,,,,,,,,
196,19-4061,,,,,,,,,,,,
196,19-4090,,,,,,,,,,,,
200,21-1010,,,,,,,,,,,,
201,21-1020,,,,,,,,,,,,
202,21-1090,,,,,,,,,,,,
204,21-2011,,,,,,,,,,,,
205,21-2021,,,,,,,,,,,,
206,21-2099,,,,,,,,,,,,
210,23-1011,,,,,,,,,,,,
211,23-1020,,,,,,,,,,,,
214,23-2011,,,,,,,,,,,,
215,23-2090,,,,,,,,,,,,
220,25-1000,,,,,,,,,,,,
230,25-2010,,,,,,,,,,,,
231,25-2020,,,,,,,,,,,,
232,25-2030,,,,,,,,,,,,
233,25-2040,,,,,,,,,,,,
234,25-3000,,,,,,,,,,,,
240,25-4010,,,,,,,,,,,,
243,25-4021,,,,,,,,,,,,
244,25-4031,,,,,,,,,,,,
254,25-9041,,,,,,,,,,,,
255,25-9011,,,,,,,,,,,,
255,25-9021,,,,,,,,,,,,
255,25-9031,,,,,,,,,,,,
255,25-9099,,,,,,,,,,,,
260,27-1010,,,,,,,,,,,,
263,27-1020,,,,,,,,,,,,
270,27-2011,,,,,,,,,,,,
271,27-2012,,,,,,,,,,,,
272,27-2020,,,,,,,,,,,,
274,27-2030,,,,,,,,,,,,
275,27-2040,,,,,,,,,,,,
276,27-2099,,,,,,,,,,,,
280,27-3010,,,,,,,,,,,,
281,27-3020,,,,,,,,,,,,
282,27-3031,,,,,,,,,,,,
283,27-3041,,,,,,,,,,,,
284,27-3042,,,,,,,,,,,,
285,27-3043,,,,,,,,,,,,
286,27-3090,,,,,,,,,,,,
290,27-4010,,,,,,,,,,,,
291,27-4021,,,,,,,,,,,,
292,27-4030,,,,,,,,,,,,
296,27-4099,,,,,,,,,,,,
300,29-1011,,,,,,,,,,,,
301,29-1020,,,,,,,,,,,,
303,29-1031,,,,,,,,,,,,
304,29-1041,,,,,,,,,,,,
305,29-1051,,,,,,,,,,,,
306,29-1060,,,,,,,,,,,,
311,29-1071,,,,,,,,,,,,
312,29-1081,,,,,,,,,,,,
313,29-1111,,,,,,,,,,,,
314,29-1121,,,,,,,,,,,,
315,29-1122,,,,,,,,,,,,
316,29-1123,,,,,,,,,,,,
320,29-1124,,,,,,,,,,,,
321,29-1125,,,,,,,,,,,,
322,29-1126,,,,,,,,,,,,
323,29-1127,,,,,,,,,,,,
324,29-1129,,,,,,,,,,,,
325,29-1131,,,,,,,,,,,,
326,29-1199,,,,,,,,,,,,
