year,klemsindid,grossoutputnom,capitalnom,labornom,intermediatenom,grossoutputcon,capitalcon,laborcon,intermediatecon
1947,1,31299.2,9744.2,10039.0,11516.0,85254.7,38868.3,192173.7,73773.2
1948,1,35560.7,11602.6,11443.1,12515.0,92947.5,41055.5,188740.4,73414.7
1949,1,29746.6,6988.2,11310.3,11448.0,90231.4,41447.7,184672.8,72727.3
1950,1,31972.9,9193.4,10284.5,12495.0,95331.5,43091.5,176766.7,77015.5
1951,1,37255.4,11954.3,10551.1,14750.0,94535.4,48023.4,168485.7,81999.1
1952,1,36552.9,10962.1,10638.8,14952.0,97628.6,46201.4,161760.8,82339.3
1953,1,32942.0,9483.9,9915.1,13543.0,99401.9,47600.2,152090.8,80445.5
1954,1,32857.0,9189.1,9695.8,13972.0,102978.1,48516.7,147241.7,83330.4
1955,1,32243.2,8090.1,9811.0,14342.0,106344.7,51026.1,148573.1,87169.5
1956,1,32119.2,8890.7,8702.5,14526.0,108074.0,50798.2,140816.0,89672.2
1957,1,32380.5,7613.7,9873.8,14893.0,107084.0,50237.4,131106.7,92319.6
1958,1,36420.0,9376.3,10391.7,16652.0,110778.9,48905.1,124886.5,95618.7
1959,1,35615.3,6906.0,10980.4,17729.0,115067.4,49811.4,124382.1,103982.4
1960,1,36333.1,7552.1,11235.1,17546.0,118111.2,49805.2,121524.5,103755.0
1961,1,37642.6,7842.1,11401.5,18399.0,120035.7,50108.5,117689.3,108000.7
1962,1,39075.6,7338.2,12035.4,19702.0,122036.6,51007.4,115056.3,114207.9
1963,1,40076.6,7498.9,11862.7,20715.0,126843.3,52938.5,112528.5,118942.4
1964,1,38507.3,6786.7,11400.7,20320.0,124538.8,53518.8,106715.7,118594.6
1965,1,42646.5,8534.1,12465.4,21647.0,130910.9,53081.5,102834.5,123570.0
1966,1,45901.1,9312.1,12786.0,23803.0,130903.5,54612.7,97740.9,128825.0
1967,1,45774.6,8863.7,12333.8,24577.0,138642.8,56465.2,92313.4,133454.6
1968,1,46642.4,9290.9,12330.5,25021.0,137982.9,57743.9,87748.1,136406.3
1969,1,50711.6,10686.6,13352.0,26673.0,142607.9,58399.0,85716.0,140362.0
1970,1,53048.6,11487.1,13464.5,28097.0,146408.0,58551.1,83129.4,144065.0
1971,1,56533.0,13609.4,12856.6,30067.0,152963.0,58694.9,82042.6,147996.7
1972,1,64907.1,16785.9,14397.2,33724.0,156297.2,58319.2,81641.3,155252.7
1973,1,93302.9,29549.8,19214.1,44539.0,160130.7,58606.8,82227.9,162290.5
